"BusNameMarker:
ID","BusNameMarker:
Name","BusNameMarker:
Path","BusNameMarker:
BusNumber","BusNameMarker:
InternalId","BusNameMarker:
Parent","BusNameMarker:
ObjectType","ConnectivityNode:
Path","ConnectivityNode:
InternalId","ConnectivityNode:
Name","BusNameMarker:
ConnectivityNodeHasABusNameMarker:
ConnectivityNode:
ID","ConnectivityNode:
Parent","ConnectivityNode:
ObjectType"
_39be2e70-015e-4ea5-9652-0cbdc9b08c0c,02   BDD-4A,Network/ReportingGroups/RG_ORI/02   BDD-4A,21288,50673213,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,Network/Companies/SIN/02ORI/02SURBDD/13.8/02SURBDD B1  13.8  A_CN,1130400,02SURBDD B1  13.8  A_CN,_520d2fc6-c990-469f-8677-04053706fbbf,_e7eb0ad1-2f91-41e0-9d91-3422a7eea7d6,ConnectivityNode
_6f5cd3a1-6877-49d0-9b4e-aa37bd332b58,03   SLM-9A,Network/ReportingGroups/RG_OCC/03   SLM-9A,33390,50673214,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03   SLM/230/03   SLM B1  230   A_CN,1222180,03   SLM B1  230   A_CN,_aaba7a53-decf-4577-8fdf-95ed033fabef,_0088e652-dc99-41dd-9f00-b5cd59919d1e,ConnectivityNode
_6010190f-6158-4ba7-9c0c-e63763974ead,03   ALS-6B,Network/ReportingGroups/RG_OCC/03   ALS-6B,335286,50673215,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03   ALS/69/03   ALS B2   69   B_CN,1189276,03   ALS B2   69   B_CN,_7d9cdcb3-cdf9-4849-a78f-f0114e26e678,_2abef3da-27c9-44c0-ba9b-68590e315c11,ConnectivityNode
_63df3b3f-ed94-4fe7-acf8-62667ca88980,01   TEX-A3,Network/ReportingGroups/RG_CEL/01   TEX-A3,100194,50673216,_E49C9848-DE91-444E-9C88-6A1A35FB6351,BusNameMarker,Network/Companies/SIN/01CEL/01   TEX/400/01   TEX B3 400   3_CN,863961,01   TEX B3 400   3_CN,_760b2dd7-00ad-452c-a6d6-c01f142b6c39,_9f57859e-50e1-4e53-8c96-11bb1b66eba2,ConnectivityNode
_3efdb7cf-9a15-47ef-bdab-36d8feaaa028,08   BLM-7A_,Network/ReportingGroups/RG_PEN/08   BLM-7A_,87912,50673217,_76D0AE3C-5478-47A1-91D5-14C8684EEC71,BusNameMarker,Network/Companies/SIN/08PEN/08   BLM/115/08   BLM B1  115   A_CN,893478,08   BLM B1  115   A_CN,_d4698e96-ce2c-4722-a298-df4ba06284e2,_695d6a94-283c-44a0-bbf5-ec15feefaa23,ConnectivityNode
_370c8650-f79a-41e5-b42a-dba6dd282c02,02   CCL-4A,Network/ReportingGroups/RG_ORI/02   CCL-4A,21039,50673218,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,Network/Companies/SIN/02ORI/02SURCCL/13.8/02SURCCL B1  13.8  A_CN,1131429,02SURCCL B1  13.8  A_CN,_5a06f013-ad4c-4313-a8c0-fbe695dbbc65,_d1f9be57-9eb0-4a58-b7ba-4c3f85253e16,ConnectivityNode
_887c8f4b-5d38-42e0-af24-6d7461a72719,03   TPX-AA,Network/ReportingGroups/RG_OCC/03   TPX-AA,35776,50673219,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03   TPX/400/03   TPX B1  400   A_CN,1228988,03   TPX B1  400   A_CN,_9def8f19-a9b9-4274-b861-ddd32e40c220,_c0944e9d-7069-4ff3-b08e-55cff3d1820a,ConnectivityNode
_9bc12a8d-0af1-4503-b658-15d961927ce6,03   HUM-7A,Network/ReportingGroups/RG_OCC/03   HUM-7A,34805,50673220,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03QROHUM/115/03QROHUM B1  115   A_CN,1358899,03QROHUM B1  115   A_CN,_0ce19796-5f67-46a3-82c9-84e9d56bc8f8,_5062a581-b7c0-4788-929f-d87b496ec9ac,ConnectivityNode
_c675b925-17e8-4088-b3b1-8188663895a3,05   SPP-9B,Network/ReportingGroups/RG_NTE/05   SPP-9B,54131,50673221,_F6FE335F-93EB-410A-B33F-11995B26A016,BusNameMarker,Network/Companies/SIN/05NTE/05   SPP/230/05   SPP B2  230.  B_CN,1587098,05   SPP B2  230.  B_CN,_791391f6-6d36-48b5-a9e0-720cb01a9cd1,_0f814c2f-cee8-4ba2-9308-e0bdccbc46d5,ConnectivityNode
_bcc944db-c25b-4cd2-bf62-c0154837192c,05   CAR-4B,Network/ReportingGroups/RG_NTE/05   CAR-4B,55855,50673222,_F6FE335F-93EB-410A-B33F-11995B26A016,BusNameMarker,Network/Companies/SIN/05NTE/05JRZCAR/13.8/05JRZCAR B2  13.8  B_CN,1639028,05JRZCAR B2  13.8  B_CN,_56e3ab4c-9abe-4358-bacd-1b0fdcb60ee5,_de72e900-f007-46d1-b778-318fcabb3f09,ConnectivityNode
_ca7f7e89-7968-4dea-a416-9ff61daa2285,05   GVR-52,Network/ReportingGroups/RG_NTE/05   GVR-52,52403,50673223,_F6FE335F-93EB-410A-B33F-11995B26A016,BusNameMarker,Network/Companies/SIN/05NTE/05DGOGVR/34.5/05DGOGVR BD  34.5  2_CN,1634312,05DGOGVR BD  34.5  2_CN,_2bb2950f-6322-4a10-a820-82b4879cc715,_c6729735-a40f-4ebd-8b1a-4baa8311f6bd,ConnectivityNode
_ab48a970-a5c3-438f-a777-eb83fefeba00,03   CTI-AB,Network/ReportingGroups/RG_OCC/03   CTI-AB,336818,50673224,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03   CTI/400/03   CTI B2  400   B_CN,1199745,03   CTI B2  400   B_CN,_afd1e425-eb00-4c7e-ae61-479e4d592d11,_7a8fc848-0934-41e2-bad9-353d035abaf9,ConnectivityNode
_d33cae15-d32d-4e21-a336-0c725f7868e0,03   MAM-52,Network/ReportingGroups/RG_OCC/03   MAM-52,35878,50673225,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03   MAM/20/03   MAM G10  20   2_CN,1209921,03   MAM G10  20   2_CN,_39ce35c8-a936-4721-b897-e6eebe2ad6a8,_f3521a20-a531-4ce9-9a93-ab005b4649d8,ConnectivityNode
_0d245a08-05b4-4e7c-b11b-81d611ba3ef0,02   SSM-7A,Network/ReportingGroups/RG_ORI/02   SSM-7A,24190,50673226,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,Network/Companies/SIN/02ORI/02PTXSSM/115/02PTXSSM B1  115   A_CN,1113784,02PTXSSM B1  115   A_CN,_ab429a39-432a-46fb-9ad2-c4f43abd56c1,_a114ca68-f1be-468a-8b65-cdb16213d6e8,ConnectivityNode
_1fc24bd8-aaf5-424d-8e90-b95a53ef8f39,06   REY-4B,Network/ReportingGroups/RG_NES/06   REY-4B,63128,50673227,_51781422-077E-49D2-814F-6BCFE2C67B30,BusNameMarker,Network/Companies/SIN/06NES/06FROREY/13.8/06FROREY B2  13.8  B_CN,1818011,06FROREY B2  13.8  B_CN,_b4cf4b44-3cd7-445c-ac48-6e220d17fddc,_26a27f7c-4a76-47bc-9cd0-90960367c47a,ConnectivityNode
_efd6e1c8-a40e-4c45-9be0-ed857b1d5cbe,01   TAX-9B,Network/ReportingGroups/RG_CEL/01   TAX-9B,100181,50673228,_E49C9848-DE91-444E-9C88-6A1A35FB6351,BusNameMarker,Network/Companies/SIN/01CEL/01   TAX/230/01   TAX B2 230   B_CN,860556,01   TAX B2 230   B_CN,_629057d7-55e2-4bb3-b626-e6e8f922241c,_78506284-f468-448e-9bcf-4793fe8300d5,ConnectivityNode
_1f073598-3540-48b0-af5e-1f9dec7fd45e,01   LAP-A2,Network/ReportingGroups/RG_CEL/01   LAP-A2,100095,50673229,_E49C9848-DE91-444E-9C88-6A1A35FB6351,BusNameMarker,Network/Companies/SIN/01CEL/01   LAP/400/01   LAP B2 400   2_CN,812646,01   LAP B2 400   2_CN,_3f1fc894-9f9a-417a-9817-56f19db89772,_cdbeed5a-9f3e-42ce-984c-72f77e668b46,ConnectivityNode
_fe2001ac-8415-4d62-83dd-58be815ec8a4,01   TEP-7A,Network/ReportingGroups/RG_CEL/01   TEP-7A,16057,50673230,_E49C9848-DE91-444E-9C88-6A1A35FB6351,BusNameMarker,Network/Companies/SIN/01CEL/01   TEP/85/01   TEP B1 85    A_CN,863570,01   TEP B1 85    A_CN,_2b2cbf1a-8ae6-4204-80e9-b215e9dc62dc,_ed441afb-dfd5-4e35-a680-e7d686608ea8,ConnectivityNode
_dc60606d-f5c1-4521-ab22-b970b39d90e2,01   PLZ-7A,Network/ReportingGroups/RG_CEL/01   PLZ-7A,14130,50673231,_E49C9848-DE91-444E-9C88-6A1A35FB6351,BusNameMarker,Network/Companies/SIN/01CEL/01TLCPLZ/115/01TLCPLZ B1  115   A_CN,906100,01TLCPLZ B1  115   A_CN,_020d9025-deeb-4f7b-aac4-d64c8b057aeb,_0c38cc27-ed88-4754-a5d2-60a8eab9a62a,ConnectivityNode
_50e264b6-e132-48bb-81f8-7779a9fbb411,02   CUY-5A,Network/ReportingGroups/RG_ORI/02   CUY-5A,25283,50673232,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,Network/Companies/SIN/02ORI/02   CUY/34.5/02   CUY B1  34.5  A_CN,38163918,02   CUY B1  34.5  A_CN,_a746a7c1-1022-4cf2-935c-96a1ec05a3d5,_87e61ba0-c41e-4740-ba4e-e759f704ea5f,ConnectivityNode
_1e91df62-1cdf-40fb-98b6-f443f3e60031,02   SNS-7A,Network/ReportingGroups/RG_ORI/02   SNS-7A,25192,50673233,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,Network/Companies/SIN/02ORI/02PTZSNS/115/02PTZSNS B1  115   A_CN,1125885,02PTZSNS B1  115   A_CN,_4f149f19-e742-49b3-a87e-c0b38a1f397b,_df5ac66a-6296-48cc-a17b-b1f5d9de3616,ConnectivityNode
_877f1458-8769-4ae6-9ade-d547b9dc6ec9,02   TSP-9A,Network/ReportingGroups/RG_ORI/02   TSP-9A,20330,50673234,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,Network/Companies/SIN/02ORI/02   TSP/230/02   TSP B1  230   A_CN,1052249,02   TSP B1  230   A_CN,_d02d8844-54f2-40ae-8e20-4fe90093a1ed,_230f93f8-37de-473c-a7e1-4cb9cd0cf2d8,ConnectivityNode
_896d383f-fa3d-46d5-91c8-ceea9fd0588d,01   NIS-7A,Network/ReportingGroups/RG_CEL/01   NIS-7A,14123,50673235,_E49C9848-DE91-444E-9C88-6A1A35FB6351,BusNameMarker,Network/Companies/SIN/01CEL/01TLCNIS/85/01TLCNIS B1  85   A_CN,905428,01TLCNIS B1  85   A_CN,_550fe42f-43e6-40bf-a672-fc5d5e84fa62,_d646cf57-0269-4108-a47b-624cad749a49,ConnectivityNode
_82e1d06c-c93b-4454-95f3-5ed296eec92c,04   BRT-42,Network/ReportingGroups/RG_NOR/04   BRT-42,44009,50673236,_31C26C5C-048F-48D3-B7F2-8329FE533721,BusNameMarker,Network/Companies/SIN/04NOR/04   BRT/13.8/04   BRT BD  13.8  2_CN,1508330,04   BRT BD  13.8  2_CN,_002e14e5-c0dc-4b43-9e57-e41fee0b7f41,_1284b1ed-d82d-45cb-b0b8-6d7f9b27cc07,ConnectivityNode
_b178466d-5f5d-4d21-bb8d-53dda56801df,03   LJY-4B,Network/ReportingGroups/RG_OCC/03   LJY-4B,330472,50673237,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03GTOLJY/13.8/03GTOLJY B2  13.8  B_CN,1303802,03GTOLJY B2  13.8  B_CN,_a4a3d558-50ab-405e-9719-9ada64e691a7,_92931215-d7df-48e2-81c8-bcc59f7fe013,ConnectivityNode
_b91b4999-a464-4fbf-9b15-0d5e20fc7eab,02   TCT-4A,Network/ReportingGroups/RG_ORI/02   TCT-4A,21232,50673238,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,Network/Companies/SIN/02ORI/02SURTCT/13.8/02SURTCT B1  13.8  A_CN,1151694,02SURTCT B1  13.8  A_CN,_13e1ef51-621d-4089-ac47-4bc702171684,_2959c6ee-2bfd-4111-a9ea-b25184eb497a,ConnectivityNode
_39a7ed39-c983-412d-9c65-e94255b5e24f,01   TLP-6A,Network/ReportingGroups/RG_CEL/01   TLP-6A,14168,50673239,_E49C9848-DE91-444E-9C88-6A1A35FB6351,BusNameMarker,Network/Companies/SIN/01CEL/01TLCTLP/69/01TLCTLP B1  69    A_CN,908432,01TLCTLP B1  69    A_CN,_627f559a-c4fc-4a35-baf9-c221fa69f9d5,_ba0c92be-c185-44b8-9038-6f9313252bd8,ConnectivityNode
_741b6d8b-a705-4684-821c-901184da79c6,02   CTO-7A,Network/ReportingGroups/RG_ORI/02   CTO-7A,22139,50673240,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,Network/Companies/SIN/02ORI/02CZICTO/115/02CZICTO B1  115   A_CN,1059778,02CZICTO B1  115   A_CN,_48fa6e15-f566-439a-b39a-c4990d2d9621,_91e36826-d1b8-48e6-950d-92d25edc9b49,ConnectivityNode
_2cd457e3-14db-4f97-8f8c-b487511a8dea,05   MGA-9A,Network/ReportingGroups/RG_NTE/05   MGA-9A,52900,50673241,_F6FE335F-93EB-410A-B33F-11995B26A016,BusNameMarker,Network/Companies/SIN/05NTE/05   MGA/230/05   MGA B1  230.  A_CN,40476219,05   MGA B1  230.  A_CN,_e9be16e5-5130-47fc-a6aa-3333d181faeb,_6d0046d5-c093-4d77-a1ae-05d63849828a,ConnectivityNode
_807faa69-2fb9-4ef3-ab40-3122de8da38a,06   ESR-7A,Network/ReportingGroups/RG_NES/06   ESR-7A,655019,50673242,_51781422-077E-49D2-814F-6BCFE2C67B30,BusNameMarker,Network/Companies/SIN/06NES/06HUAESR/115/06HUAESR B1  115.  A_CN,1839787,06HUAESR B1  115.  A_CN,_ec03df13-2ce1-4e21-a544-853e3415c2ff,_59e3c1cf-aa2d-45c5-a5ad-4a36ce6664ce,ConnectivityNode
_ae91e4a9-f1c2-48e7-8def-f98c546185e0,03   CRN-7A,Network/ReportingGroups/RG_OCC/03   CRN-7A,32218,50673243,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03CNTCRN/115/03CNTCRN B1  115   A_CN,1242080,03CNTCRN B1  115   A_CN,_564478e3-e557-450c-bac1-6002bb3a9d3c,_c5ada7e6-7b43-489b-9069-8e25996a6f31,ConnectivityNode
_1be661f3-a09f-4866-8ed9-e8bd2fbf3436,03   IPP-4B,Network/ReportingGroups/RG_OCC/03   IPP-4B,332212,50673244,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03GTOIPP/13.8/03GTOIPP B2  13.8  B_CN,1300644,03GTOIPP B2  13.8  B_CN,_b04762b8-a647-448c-8f5c-237b9034751c,_e06c10bc-3fe4-46bb-aac0-d3310644c2d2,ConnectivityNode
_6f4deb06-7b7a-4289-9f96-fd4ab578a2ac,03   FSO-90,Network/ReportingGroups/RG_OCC/03   FSO-90,32274,50673245,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03CNTFSO/230/03CNTFSO BD  230   0_CN,1245083,03CNTFSO BD  230   0_CN,_91e9642f-1ecb-4175-862f-7442b96c5ee3,_3cf7f271-3079-4300-a257-bfa8c16d1380,ConnectivityNode
_1fd8cf84-9524-4416-a696-7e9aa4cb78dd,05   FVL-9C,Network/ReportingGroups/RG_NTE/05   FVL-9C,53020,50673246,_F6FE335F-93EB-410A-B33F-11995B26A016,BusNameMarker,Network/Companies/SIN/05NTE/05   FVL/230/05   FVL B3  230.  C_CN,1574936,05   FVL B3  230.  C_CN,_a1167baa-ccd1-4541-ac5b-71e1914e711e,_c8638d74-9b0b-4b5c-8234-99b7a2ff9278,ConnectivityNode
_e71b334c-ddbd-42e7-a4cb-a9cd16045e5b,06   FTE-8A,Network/ReportingGroups/RG_NES/06   FTE-8A,633012,50673247,_51781422-077E-49D2-814F-6BCFE2C67B30,BusNameMarker,Network/Companies/SIN/06NES/06COAFTE/138/06COAFTE B1  138.  A_CN,1804659,06COAFTE B1  138.  A_CN,_9e959724-cd71-41c5-8941-a5617936a0d3,_da1c9b11-9d08-43db-b03a-ee8b2c4d66b5,ConnectivityNode
_c9fc5875-1baf-4912-88cd-066b7d560b3a,03   SLI-4A,Network/ReportingGroups/RG_OCC/03   SLI-4A,325061,50673248,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03CNTSLI/13.8/03CNTSLI B1  13.8  A_CN,1258923,03CNTSLI B1  13.8  A_CN,_43ff13ba-eac1-41c3-a181-88383122e053,_7a5cb7c9-ff68-4d5f-a963-335c75c33879,ConnectivityNode
_e11787ac-ed74-4861-a86f-514fb1e445ac,03   QPE-7A,Network/ReportingGroups/RG_OCC/03   QPE-7A,34056,50673249,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03QROQPE/115/03QROQPE B1  115   A_CN,1363611,03QROQPE B1  115   A_CN,_20562d67-0a01-47d5-afe9-c3cf5de564cc,_18da68dd-13bc-436e-a53c-670e691e39ff,ConnectivityNode
_ca546236-4cb5-4409-be01-1b18ae4659b2,01   PMX-7A_,Network/ReportingGroups/RG_CEL/01   PMX-7A_,14243,50673250,_E49C9848-DE91-444E-9C88-6A1A35FB6351,BusNameMarker,Network/Companies/SIN/01CEL/01TLCPMX/115/01TLCPMX B1  115   A_CN,40354469,01TLCPMX B1  115   A_CN,_fd55e8c1-b983-4b4f-9189-7769fca0dc50,_9cd9eb8d-963c-4914-877e-f9e945dfdd7a,ConnectivityNode
_dc93e7e6-6f13-4ba4-86af-36c8b304c355,08   NIZ-7A,Network/ReportingGroups/RG_PEN/08   NIZ-7A,87901,50673251,_76D0AE3C-5478-47A1-91D5-14C8684EEC71,BusNameMarker,Network/Companies/SIN/08PEN/08   NIZ/115/08   NIZ B1  115   A_CN,917837,08   NIZ B1  115   A_CN,_aff0cb82-90f9-48a7-86af-62f85484ddab,_60511575-9a52-4ce8-a000-f3de2dff54ba,ConnectivityNode
_24db1c71-272d-44bb-af18-8f9fc9c689ef,02   MHT-7A,Network/ReportingGroups/RG_ORI/02   MHT-7A,23140,50673252,_DD646B07-97AE-48E9-8DDE-D35D4F591993,BusNameMarker,Network/Companies/SIN/02ORI/02VERMHT/115/02VERMHT B1  115   A_CN,1172848,02VERMHT B1  115   A_CN,_3fe9d2ea-5644-4156-bad2-83bc909ffef1,_aaef3288-c519-45f5-8dda-7010008d3031,ConnectivityNode
_42f36b42-3065-43fd-9a62-d20a647b642a,01   BBR-7A,Network/ReportingGroups/RG_CEL/01   BBR-7A,14039,50673253,_E49C9848-DE91-444E-9C88-6A1A35FB6351,BusNameMarker,Network/Companies/SIN/01CEL/01TLCBBR/115/01TLCBBR B1 115   A_CN,892759,01TLCBBR B1 115   A_CN,_ecafb0fa-3278-4e01-89a1-764910a05589,_e1de28b7-9486-466f-a5f0-8bd08d245f8b,ConnectivityNode
_6bbae899-8dac-4baf-9e21-e1ddd1022826,03   QRN-72,Network/ReportingGroups/RG_OCC/03   QRN-72,380131,50673254,_DD71E893-B253-4B28-B64A-CA00C7005BAE,BusNameMarker,Network/Companies/SIN/03OCC/03QROQRN/115/03QROQRN BD  115   2_CN,1364379,03QROQRN BD  115   2_CN,_3a9aa307-b21c-4105-8cd4-f9e0d97350a5,_6388243d-27ab-4d60-9ca5-21558d02c489,ConnectivityNode
_e101872a-6b60-4bc8-97bd-9b2f1c917027,06   CIS-7A,Network/ReportingGroups/RG_NES/06   CIS-7A,642025,50673255,_51781422-077E-49D2-814F-6BCFE2C67B30,BusNameMarker,Network/Companies/SIN/06NES/06   CIS/115/06   CIS B1  115.  A_CN,1708251,06   CIS B1  115.  A_CN,_6008f189-c05d-4d5f-8288-901256cad4d4,_6f28a73f-dc99-439d-ae8b-6552ff3c50ba,ConnectivityNode
_183c81d6-9ec7-4c9f-a8f2-95de1e6057be,05   JOM-4C,Network/ReportingGroups/RG_NTE/05   JOM-4C,52209,50673256,_F6FE335F-93EB-410A-B33F-11995B26A016,BusNameMarker,Network/Companies/SIN/05NTE/05   JOM/13.8/05   JOM B3  13.8  C_CN,1578067,05   JOM B3  13.8  C_CN,_6ab85efb-2516-4093-801e-491b9f7376ed,_6a8d52d6-8227-4100-878d-4817cded0613,ConnectivityNode
