"SeriesCompensator:
ID","SeriesCompensator:
InternalId","SeriesCompensator:
Name","SeriesCompensator:
Parent","SeriesCompensator:
ObjectType","BaseVoltage:
Path","BaseVoltage:
InternalId","BaseVoltage:
Name","SeriesCompensator:
ConductingEquipmentUsesABaseVoltage:
BaseVoltage:
ID","BaseVoltage:
Parent","BaseVoltage:
ObjectType"
_74425d08-f998-4f94-9699-b95746e5a49c,795283,01TLCDOG-CS010-LCP,_f2835e04-f2dd-47a3-a175-47b75fca370e,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_7a06d2b0-a7e3-4a48-aa74-0069b435480f,795286,01TLCDOG-CS210-PIT,_f2835e04-f2dd-47a3-a175-47b75fca370e,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a9ef8662-b954-4452-aa16-737f5fe097ad,795289,01TLCDOG-CS220-PIT,_f2835e04-f2dd-47a3-a175-47b75fca370e,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ec2bf580-000a-4c9c-965d-6a443b727027,1034606,02   JUI-CS010-02   MMT,_f1e8c698-c232-4b95-87b3-25fd9830593c,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_e489b57f-86dc-42f8-9f19-234fcc1e1872,1034609,02   JUI-CS020-02   MPD,_f1e8c698-c232-4b95-87b3-25fd9830593c,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4827d8a6-1688-40ee-ad4b-1d112fa4da15,1034612,02   JUI-CS030-02   MMT,_f1e8c698-c232-4b95-87b3-25fd9830593c,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_1ebaf930-c5c3-47a8-8582-db7657169d2e,1043148,02   PBD-CS460-02   TMD,_d7149e1a-0747-41a6-8f1a-c37345f78b89,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_22425383-7c4d-4ce3-ba21-20afbfa589fb,1043151,02   PBD-CS920-02   OJP,_d7149e1a-0747-41a6-8f1a-c37345f78b89,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5f12acd1-d1f6-499e-b2eb-75b8b9d7a541,1050508,02   TCL-CS510-02   TMT,_8a84d373-d7b1-45b2-8b2c-83ddc8790ec6,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_40ae29ac-86f3-40b0-9b1c-da4f1a96f2b4,1050514,02   TCL-CSU20-02   EDO,_8a84d373-d7b1-45b2-8b2c-83ddc8790ec6,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_6a19cf1b-898a-4603-b1ad-032be9c332ef,1050517,02   TCL-CSU30-02   EDO,_8a84d373-d7b1-45b2-8b2c-83ddc8790ec6,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3b8657d4-25f6-4da5-bd62-cc58da5dc29d,1051528,02   TMD-CS260-02   CHM,_3605941e-5dca-44e9-ba41-16da4877eabb,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_93648ac4-a87e-42f8-8822-ed4f8c02e8a8,1051531,02   TMD-CS360-02   MID,_3605941e-5dca-44e9-ba41-16da4877eabb,SeriesCompensator,Network/.Base Voltages/Base 400,590818,Base 400,_f6fbc9e5-715d-41c2-8b86-f4732ea84ff2,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_c04bdf0f-d9e0-43a2-b45d-0c72db84fa11,1544301,07   NGA-CAP 01     HAS,_72ee2ccf-c803-4401-89da-9285b9cf871c,SeriesCompensator,Network/.Base Voltages/Base 525,616929,Base 525,_ad0f57fd-4eca-4afd-bf90-ceeaac8ba513,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_99d58509-1c7f-4669-8dcb-8a6bc2c30170,1544304,07   NGA-CAP 01     HDW,_72ee2ccf-c803-4401-89da-9285b9cf871c,SeriesCompensator,Network/.Base Voltages/Base 525,616929,Base 525,_ad0f57fd-4eca-4afd-bf90-ceeaac8ba513,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5d9009f1-a5e4-44d0-b52b-7a5e7df13e66,1885096,07   AZC-CAP 01     AZC,_7e91be25-9136-4658-9cd5-a6c65a8d39e8,SeriesCompensator,Network/.Base Voltages/Base 525,616929,Base 525,_ad0f57fd-4eca-4afd-bf90-ceeaac8ba513,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_9db02724-9f74-473b-8af0-8e28b9bf5354,1885645,07   CA2-CAP1       CA2,_70d5fa59-2bcc-4e8d-83ae-45d664d11863,SeriesCompensator,Network/.Base Voltages/Base 525,616929,Base 525,_ad0f57fd-4eca-4afd-bf90-ceeaac8ba513,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_2375c4cd-a512-469d-9395-64d517f43e9f,1885648,07   CA2-CAP2       CA2,_70d5fa59-2bcc-4e8d-83ae-45d664d11863,SeriesCompensator,Network/.Base Voltages/Base 525,616929,Base 525,_ad0f57fd-4eca-4afd-bf90-ceeaac8ba513,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_de7d5328-cc36-4d9b-9be5-560dc864603f,1885683,07   CAC-CAP1       CAC,_a3996af8-541f-41a2-a771-ff5b55ebe538,SeriesCompensator,Network/.Base Voltages/Base 525,616929,Base 525,_ad0f57fd-4eca-4afd-bf90-ceeaac8ba513,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_c8cc9550-4365-4c8a-be4c-a17599de3620,1885686,07   CAC-CAP2       CAC,_a3996af8-541f-41a2-a771-ff5b55ebe538,SeriesCompensator,Network/.Base Voltages/Base 525,616929,Base 525,_ad0f57fd-4eca-4afd-bf90-ceeaac8ba513,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4ad72326-4a93-4c70-9196-d7c69a234030,1892477,07   SCT-CAP 01     SCT,_f7b2d594-2f61-44d7-89e0-b77231a90707,SeriesCompensator,Network/.Base Voltages/Base 525,616929,Base 525,_ad0f57fd-4eca-4afd-bf90-ceeaac8ba513,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_221da3fb-74e7-4cbb-b0c7-493b7247a048,1916280,07   ECO-CAP 01     ECO,_25a22968-10f9-4514-8e0d-4f90af40b8be,SeriesCompensator,Network/.Base Voltages/Base 525,616929,Base 525,_ad0f57fd-4eca-4afd-bf90-ceeaac8ba513,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4d1e49a3-2a21-400e-9134-defb4a301928,1916509,07   IVY - 02 CAP    IVY,_51965682-ed24-4d80-9f53-cfa9de104d2f,SeriesCompensator,Network/.Base Voltages/Base 525,616929,Base 525,_ad0f57fd-4eca-4afd-bf90-ceeaac8ba513,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_F3D02DE4-B655-4C5A-A510-A9219DE31EAE,37997402,07   OMS-RCT 01     OMS,_9a4a1abe-278f-43d7-9a67-6baa559f3713,SeriesCompensator,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_76136F02-2BC0-4510-BC16-3FF88FCEC66A,38158173,06   MTP-RLC1-06   MTP,_f5eb7727-b2de-4355-aa5c-fa268b3aaba6,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_bd626ec7-8b70-4d35-8ba6-d8e3a313192e,38370204,06OPCAPO-73810-06OPCAPO,_b3cd6081-da53-4fe8-9687-5fe270c323d4,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_6e41feee-97a5-489b-958f-262125f0ec30,38372162,06   CCL-73480-06   CCL,_b8eed17c-1991-44df-a66e-dd92f28d7343,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_94ccabff-e1f0-4c59-8177-1563fe0ca547,38372165,06   CCL-73490-06   CCL,_b8eed17c-1991-44df-a66e-dd92f28d7343,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_81c03c46-ce8b-488b-b452-68f73a9aa9e3,38373599,06   VCG-53120-06   VCG,_0b749ab1-1f7f-4d70-a767-cb71d046b1a9,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_87035f38-099c-4640-96fb-65a46d065b07,38373603,06HUAABR-73220-06HUAABR,_4a1d8a46-5f13-42ad-ae6b-615a92396c9f,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_02a4eea3-7f7c-4ec8-b976-baf6ea218e4f,38373611,06HUAAZT-73C00-06HUAAZT,_189a3e9e-464b-4016-be6c-8ac61c7c2cc6,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_36218db3-78ac-44dd-aa96-1aca7df576cc,38373617,06MTYNGM-73G40-06MTYNGM,_e4cbb62e-b09e-45f0-b348-adeb569f79f4,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3e1dea5e-f117-407c-ab24-24feece86ffb,38373621,06MTYTII-73L20-06MTYTII,_796b6391-be87-4489-be0b-e951f51ff630,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4138ad17-360e-4aa9-971c-f1543cbec5cd,38373627,06   EMC-73NE0-06   EMC,_c0e8755c-7e21-4eac-b3a0-c657649b6856,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_1eac963e-bef7-4421-b001-544acabfead3,38373631,06OPCMIT-73D70-06OPCMIT,_f159c86a-aa4e-4adf-8a30-75db5a90ad50,SeriesCompensator,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_2a827303-d73f-483d-b066-16419f1fbf73,38373635,06   EMP-53010-06   EMP,_d0b231bc-3c5e-4648-a753-98e3895fc2cf,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_84f3fbae-33b6-41b2-91a1-2adf1663dfba,38373639,06   EMP-53020-06   EMP,_d0b231bc-3c5e-4648-a753-98e3895fc2cf,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_86bac43c-5c1c-43af-9b01-88f8c6504113,38373643,06   EMP-53030-06   EMP,_d0b231bc-3c5e-4648-a753-98e3895fc2cf,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_51c01a34-44fc-4c32-a900-233d648393e1,38373647,06   EMP-53040-06   EMP,_d0b231bc-3c5e-4648-a753-98e3895fc2cf,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_0eae5a41-f645-40fb-b38d-071cd78e2777,38373651,06   EMP-53050-06   EMP,_d0b231bc-3c5e-4648-a753-98e3895fc2cf,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_23526ad4-9519-4836-94c8-9ec7edbdbd39,38373655,06   EMP-53060-06   EMP,_d0b231bc-3c5e-4648-a753-98e3895fc2cf,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_90f97d28-10fc-4fb0-97df-32ec080601a2,38373659,06   EMP-53070-06   EMP,_d0b231bc-3c5e-4648-a753-98e3895fc2cf,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_96ddd032-d8ca-42cc-a0f5-fc9810e2892d,38373663,06   EMP-53080-06   EMP,_d0b231bc-3c5e-4648-a753-98e3895fc2cf,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4be91974-4581-493c-911c-5af225671152,38373667,06   EMP-53090-06   EMP,_d0b231bc-3c5e-4648-a753-98e3895fc2cf,SeriesCompensator,Network/.Base Voltages/Base 34.5,590833,Base 34.5,_7dde2c76-fed1-4a2d-a4af-f360553c43f3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
