"VoltageLevel:
ID","VoltageLevel:
InternalId","VoltageLevel:
Name","VoltageLevel:
Parent","VoltageLevel:
ObjectType","BaseVoltage:
Path","BaseVoltage:
InternalId","BaseVoltage:
Name","VoltageLevel:
VoltageLevelHasABaseVoltage:
BaseVoltage:
ID","BaseVoltage:
Parent","BaseVoltage:
ObjectType"
_2f6fbd0d-4c1b-4e7a-95e5-56bc8f7e6a16,1128129,115,_24e59c8e-c8ef-4ec1-be02-b112896c541f,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_7270754e-52f0-4d7b-8ece-994672755235,1128141,13.8,_24e59c8e-c8ef-4ec1-be02-b112896c541f,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4b983fd0-0594-4d60-a94c-f7a7320c95df,1128284,115,_9cef1bff-abd3-4d76-9367-0daf87ff2e1d,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a1b3a0d6-1a83-45b2-90de-c723f8e6653d,1128333,13.8,_9cef1bff-abd3-4d76-9367-0daf87ff2e1d,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_47a552f8-d636-4815-9d73-1e6f35306180,1128472,85,_ad92ea4b-babb-4b9c-b4c9-12d331cd1b5a,VoltageLevel,Network/.Base Voltages/Base 85,590816,Base 85,_24cb97e8-7019-4ddc-ac82-41e5140983c3,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_9475d111-77d4-4a31-8c80-e901b0efce50,1128537,13.8,_ad92ea4b-babb-4b9c-b4c9-12d331cd1b5a,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3f997529-a9e2-4ef6-bd0c-de24bc6da5d5,1128561,23,_ad92ea4b-babb-4b9c-b4c9-12d331cd1b5a,VoltageLevel,Network/.Base Voltages/Base 23,590823,Base 23,_883282eb-80a9-49e6-8a28-910fc450e928,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_a44c5009-468c-4ec4-a6f3-7b1438d1a76f,1128967,115,_713cb707-ab76-4693-b35e-732a04a0d1ad,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_4b131d87-d375-4c78-af9a-f93533fd0cc5,1128998,13.8,_713cb707-ab76-4693-b35e-732a04a0d1ad,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_8696db2d-7115-4357-91ea-b0fb4d18f918,1129287,115,_acf6aa5e-bb9c-4575-b184-ae872845579e,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f3740fbe-6f9e-41db-83fe-0e8666438b84,1129336,13.8,_acf6aa5e-bb9c-4575-b184-ae872845579e,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5d61190c-1e6c-41e5-b702-9827671bea0d,1129475,115,_b49fe0f4-8554-43d8-903f-b4afc3e5dd69,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_9ae69341-4588-4fab-ac0f-f76bf344e9c1,1129572,13.8,_b49fe0f4-8554-43d8-903f-b4afc3e5dd69,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_ebbe7903-cbfd-4fc2-916e-86fbeedc2f10,1129879,115,_2ead8d4d-8a29-4fd3-a715-5f3202bb9d33,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5a7be726-4b7b-47ae-8e02-aaffee79fa85,1129907,13.8,_2ead8d4d-8a29-4fd3-a715-5f3202bb9d33,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_fc08b80d-c033-4dd9-9c63-e5c2c6da64d8,1130191,115,_ee05bc79-7c0b-4637-b67b-647be0766107,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_615af076-7395-4945-8316-4871d38d2b99,1130215,13.8,_ee05bc79-7c0b-4637-b67b-647be0766107,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_5befd329-1839-4263-b8b4-fed4028479e6,1130361,115,_de6ab833-3f76-4599-b30b-19e77b9977a8,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_e7eb0ad1-2f91-41e0-9d91-3422a7eea7d6,1130399,13.8,_de6ab833-3f76-4599-b30b-19e77b9977a8,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_7e00dcde-1e69-40ea-b36a-b570dbc79a13,1130535,115,_037f0202-fe56-4ab3-a8ca-b47f6e09770f,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_3f21cedf-37fc-445f-9ab6-6a2e6d6c1333,1130628,13.8,_037f0202-fe56-4ab3-a8ca-b47f6e09770f,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_dc08343b-deb4-492c-993d-3ef428d18f11,1130793,115,_4eef8789-491c-416b-9e9f-a1dbaf67fb1f,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_0bbbdbef-eb7c-42b4-a27c-f50c0c6450aa,1130887,13.8,_4eef8789-491c-416b-9e9f-a1dbaf67fb1f,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_c8ecb9e3-57c1-4123-a948-574fa535df37,1131179,115,_12bff924-13d5-45df-99d2-bf00e469dab1,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_04fbf990-bf7a-431e-8ae6-1d07ccf3b958,1131195,13.8,_12bff924-13d5-45df-99d2-bf00e469dab1,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_fa305139-8d1a-419f-88ca-601d65da7c53,1131381,69,_8382bd14-171e-4dc9-85fb-2151d53b6d7d,VoltageLevel,Network/.Base Voltages/Base 69,590820,Base 69,_8f15c37e-24d4-4d71-9a03-9ca4b5697e70,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_0e89d641-bc4c-438e-8bc5-4858364a6a56,1131412,6.6,_8382bd14-171e-4dc9-85fb-2151d53b6d7d,VoltageLevel,Network/.Base Voltages/Base 6.6,590830,Base 6.6,_d3fb5694-b28e-48d0-acbb-dc5d66a8449d,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d1f9be57-9eb0-4a58-b7ba-4c3f85253e16,1131428,13.8,_8382bd14-171e-4dc9-85fb-2151d53b6d7d,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_fb055b29-100e-4271-a833-4c979a1bfa03,1131608,115,_75d81333-ab00-4e0d-a856-6eadca71d3a0,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_fb1589ad-f0b3-486a-adb9-222aa80ae8fa,1131701,230,_75d81333-ab00-4e0d-a856-6eadca71d3a0,VoltageLevel,Network/.Base Voltages/Base 230,590817,Base 230,_b7d0447b-bb22-4ad7-9b5a-cbe738b4daab,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_f0112f7f-b0bb-4b8a-96ad-1136d1877fb4,1131827,13.8,_75d81333-ab00-4e0d-a856-6eadca71d3a0,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_53d4ac1f-6b5f-420e-b212-26c9d47db876,1132025,115,_da8acf22-eac4-4473-893a-2a7f4adb2ff7,VoltageLevel,Network/.Base Voltages/Base 115,590819,Base 115,_b0850aca-f44c-4411-8bfa-6f00a8a3cbb7,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
_d35a0ce8-86a4-4b07-9be4-7dbc809afa4b,1132144,13.8,_da8acf22-eac4-4473-893a-2a7f4adb2ff7,VoltageLevel,Network/.Base Voltages/Base 13.8,590822,Base 13.8,_ae3db9ec-aaab-4325-bc0d-14541094be82,_1d2b9c5d-5902-4cb1-8f3f-4b8d3ae2003b,BaseVoltage
