"ShuntCompensator:
ID","ShuntCompensator:
Name","ShuntCompensator:
Description","ShuntCompensator:
NAFlag","ShuntCompensator:
ShortID","ShuntCompensator:
InternalId","ShuntCompensator:
Parent","ShuntCompensator:
ObjectType"
_8e27148a-ed3c-4211-8bd9-f6559aa9ca8a,CP-01,02VERCLU CP-01  7I,true,C1,48374173,_91e3f430-152e-484f-bd31-7665eed6ade4,ShuntCompensator
_996A560A-CB39-45E6-B2FA-1635F2016A17,CP-01,05CGOGVD CP-1 B1    0.6I,true,C1,48382245,_13c88bc5-97cd-4bee-b6e6-baab6864cc5b,ShuntCompensator
_96c376d2-0151-4e0f-a4b3-27fd88893f22,CP-01,02VERMGY CP-01  7.5I,true,C1,48413844,_bbd14d69-e491-4322-b4c7-b5680efd65b5,ShuntCompensator
_7FF49134-0931-4C62-AAC3-6E049B18E4AD,CP-01,05   CML CP-1 B1    015I,true,C1,48537465,_1BC9A0E7-33CA-4614-B891-C35FDA7E1E4A,ShuntCompensator
_43eeec52-8f8c-48b4-964a-b83e1244e911,CP-03,02SURFCM CP-03 7.5I,true,C3,48646497,_b4ef4c07-54ba-4cb9-90fa-569ad567007c,ShuntCompensator
_B4AABFFA-185A-4F7B-9570-F8ECB7BBEECE,CP-01,05CUAESZ CP-1 B1    010I,false,C1,48681590,_765091e3-02e4-43ee-b99a-05ba32576c8b,ShuntCompensator
_F7BB93B4-0E53-4A6C-9AB7-A2A0CBC5FA15,CP-01,05JRZMED CP-1 B1    1.8I,true,C1,49030354,_fa994ff5-0894-4611-873d-4d5d2bd7ad23,ShuntCompensator
_54096F2E-287D-455F-9BCA-272F1BD8191E,CP-02,05JRZMED CP-2 B2    1.8I,true,C2,49086380,_fa994ff5-0894-4611-873d-4d5d2bd7ad23,ShuntCompensator
_48E66F46-1981-456E-8E15-9556637311EE,CP-01,07   PAF 45010  1.8 MVAR,true,C1,50356962,_5fdb365f-dd1b-448e-80a9-7ba87ccb9589,ShuntCompensator
_3B7C9D0B-A985-4E3C-B94A-E347E14260CA,CP-01,03CNTOCL CP-1 45010 1.2.I,true,C1,50556584,_b0d6c8a5-9cef-488f-be0a-82476fc0a327,ShuntCompensator
_11A4DCC0-ECF3-4064-91D0-DA48AAC4CC50,CP-02,03CNTOCL CP-1 45020 1.2.I,true,C2,50556586,_b0d6c8a5-9cef-488f-be0a-82476fc0a327,ShuntCompensator
_7FA9B7C6-10DF-4805-BB96-6060BCD22BB5,CP-01,03CNTLOR CP-1 45010 1.2.I,true,C1,50556667,_678d2c8a-a9b4-43f7-8583-6d094ff6ce20,ShuntCompensator
_DBFBCA4F-DA4C-4B3C-BE32-2AE080B95176,CP-01,03CNTVPS CP-1 45010 1.2.I,true,C1,50556913,_2065a16f-bfd5-4ed3-868b-93ad92cb633f,ShuntCompensator
_E03A6737-0707-43A8-9BA8-D6207916EEB2,CP-01,03CNTVJU CP-1 45010 2.4.I,true,C1,50556924,_4e9f7748-c08a-40c1-82a3-f8ac4d1b46ac,ShuntCompensator
_0416798F-08C8-404C-AFD0-12A979A1D8A5,CP-01,03CNTMHR CP-1 45010 1.2.I,true,C1,50562116,_d3394ac1-8ffd-4450-8f3d-d103cb21732c,ShuntCompensator
_FCC85FBD-C4AC-47B3-958D-88D89AFAA956,CP-01,03CNTLAS CP-1 45010 1.2.I,true,C1,50562202,_ddaa7acc-8343-4476-a096-dc534acd3287,ShuntCompensator
_03D93869-6208-44A0-BC7F-E7E7FB1FA87C,CP-01,03CNTVHO CP-1 45010 1.2.I,true,C1,50562217,_9d67a0b1-da47-47a2-9ad0-545d07a07318,ShuntCompensator
_E0606F98-12A9-4B2A-9BC4-BF4547D7978D,CP-01,03CNTSFR CP-1 45010 2.4.I,true,C1,50562294,_957f2735-8e2d-42f9-9f30-1b4d1a0d5a8a,ShuntCompensator
_BD7663DF-C52E-48B0-818C-9F84FF40C4E4,CP-01,03GTOLNA CP-1 45010 2.4.I,true,C1,50566063,_c0fe74ad-66c0-4b74-82fa-48b324f4f16e,ShuntCompensator
_EF34A1AB-2D53-4990-A85C-02195767C20E,CP-01,03GTOSFQ CP-1 45010 2.4.I,true,C1,50566159,_6a980d7d-7aac-475a-baa4-5a63cf54dc89,ShuntCompensator
_E4C7427F-5315-48F0-B569-87AA6C161AA5,CP-01,03GTORTA CP-1 45010 2.4.C,true,C1,50566205,_70835eac-8f10-44e8-a27c-f3606d0f5629,ShuntCompensator
_0FC92F72-9D7C-460D-A51A-9B12A33B46D8,CP-01,03GTOSRQ CP-1 45010 1.4.I,true,C1,50566230,_982FD574-63C7-42C3-A59E-A781C89BB452,ShuntCompensator
_91561362-E20F-4632-ABAA-73E80F7538F1,CP-01,03GTOMRA CP-1 45010 2.4.I,true,C1,50566245,_93bada36-6362-4318-a007-7ec2ecef4536,ShuntCompensator
_D396D038-C491-4C44-AFA2-EBEB2532FA85,CP-01,03GTOLGS CP-1 45010 1.2.I,true,C1,50566265,_80582840-a562-4c02-af51-8dcf95ce5b15,ShuntCompensator
_68AE21AA-4DB5-49F4-A63C-B94956E247DD,CP-01,03GTOTOO CP-1 45010 2.4.I,true,C1,50566281,_4a82d46c-9d82-4f0e-9249-ac78656229d5,ShuntCompensator
_626AE563-FD18-401F-8E1F-7F9C91DDAEF0,CP-02,03GTOLGS CP-2 45020 1.2.I,true,C2,50566582,_80582840-a562-4c02-af51-8dcf95ce5b15,ShuntCompensator
_50398057-B79F-4285-9194-F4F9214E6077,CP-01,03QROCLF CP-1 45010 1.2.I,true,C1,50567756,_ab6ec12d-656f-4b27-a76f-6cd53eea06c0,ShuntCompensator
_DEB593B9-2F2D-4556-81C3-09A8A959DEFF,CP-02,03QROCLF CP-2 45020 1.2.I,true,C2,50567768,_ab6ec12d-656f-4b27-a76f-6cd53eea06c0,ShuntCompensator
_29F4C661-975A-4A18-A2B8-5CAD7AC66C1B,CP-01,03GTOJEM CP-1 45010 1.2.I,true,C1,50567789,_43909d4d-3128-4bb4-bdb8-2dc3f791706b,ShuntCompensator
_37F69082-154B-43A2-8CBE-8B34EE656C22,CP-01,03QRODHD CP-1 45010 2.4.I,true,C1,50568544,_43813e91-42a1-4ded-a810-7da2ab77f5d9,ShuntCompensator
_E6F94266-346B-49F3-B9F9-C36D7575DCB6,CP-02,03QRODHD CP-2 45020 2.4.I,true,C2,50568547,_43813e91-42a1-4ded-a810-7da2ab77f5d9,ShuntCompensator
_5CFAC16B-5081-40CF-B238-7BE43358B8DD,CP-01,03GTOLVR CP-1 45010 1.2.I,true,C1,50568876,_a4011718-1943-40c8-ad82-6a228392df85,ShuntCompensator
_FF6CE817-ADE7-474E-8397-45CEF8B0A663,CP-01,03GTOCYI CP-1 45010 1.2.I,true,C1,50570607,_e85578ad-1a1d-4f9c-8edb-f9728da06d8f,ShuntCompensator
_782F3E64-61F8-42E7-94F4-1DA295BA9C58,CP-01,03GTOPTI CP-1 55010 1.8.I,true,C1,50573415,_eb388b90-96d7-4664-bce1-f50db3464ba3,ShuntCompensator
_72520859-E92D-4692-9DBA-7C417CF0C2D7,CP-01,03GTOCAE CP-1 45010 2.4.I,true,C1,50573519,_7f59a202-20d1-40fe-97e8-a46dc70595f8,ShuntCompensator
_4439A4CB-2DA1-4668-87D9-6DB7731F6B91,CP-01,03GTOPNJ CP-1 45010 1.8.I,true,C1,50573554,_6c980a97-3a4e-433d-8784-ef82d0b764d0,ShuntCompensator
_12576715-ED5A-4C34-BA1E-06A131CBE0BC,CP-01,03GTOLPS CP-1 55010 2.4.I,true,C1,50573618,_344043d0-5fa8-4eed-a472-95ea6a055a0e,ShuntCompensator
_6EDC07EA-02DD-4F15-92CA-D4BEC1732032,CP-01,03GTOGRU CP-1 55010 2.4.I,true,C1,50573859,_4cebc1c5-bee2-4ca1-a241-55cf3fc28d63,ShuntCompensator
_07B232DB-E52E-420D-8CBE-A8B76A090E0A,CP-02,03GTOLPS CP-2 55020 1.2.I,true,C2,50574420,_344043d0-5fa8-4eed-a472-95ea6a055a0e,ShuntCompensator
_D6C16A2E-0A75-497B-9BD0-AA3CEA4B4AAD,CP-01,03GTOSYL CP-1 55010 1.2.I,true,C1,50574431,_8aed1228-c8e6-4046-95dd-16c52cd7d889,ShuntCompensator
_1CCA417F-8C9A-4492-A4EF-E21504C66410,CP-01,03GTOCIA CP-1 55010 1.2.I,true,C1,50574442,_e7e331da-83b3-4f7b-89ae-de01094ea716,ShuntCompensator
_C41B80A0-6F67-43D2-8B6E-89EF98EFB6BF,CP-01,03GTOPQI CP-1 55010 2.4.I,true,C1,50574516,_da22b00c-f30d-4152-ad76-a80cafcafe29,ShuntCompensator
_530D794D-5F88-48AC-A702-284E1296132B,CP-01,03GTOCHA CP-1 55010 1.2.I,true,C1,50575891,_37ca07e1-44b0-46e6-adad-9f224d12f702,ShuntCompensator
_D31910DD-B359-4AC1-8A91-7BCF6A9E63EB,CP-02,03QROBNA CP-1 55020 2.4.I,true,C2,50577807,_4359fc3a-8ff9-49a5-8f4e-0aaec1758478,ShuntCompensator
_B3A1598A-D151-40E0-AC77-07B7CB58783D,CP-02,03QROBVN CP-1 55020 1.2.I,true,C2,50577819,_46817119-afc7-44bb-831e-e9bc3d760898,ShuntCompensator
_1D3B306B-73C2-4847-BC89-7BF7E36EA45A,CP-02,03QROSFS CP-2 45020 1.2.I,true,C2,50577870,_c213ff0c-8975-437b-81b4-b4fd8cb9707f,ShuntCompensator
_4CB3D4E3-04AD-4FB8-8BC9-3DFDEFC611F3,CP-01,03QROSFS CP-1 45010 1.2.I,true,C1,50577877,_c213ff0c-8975-437b-81b4-b4fd8cb9707f,ShuntCompensator
_0C4D0931-0647-4729-AEAF-58C46FF94213,CP-01,03QROMQO CP-1 55020 1.2.I,true,C1,50578045,_6729b7fa-4dc9-44fa-b611-fe4a4b9e8d0e,ShuntCompensator
_A27F41DE-8C5E-4108-B164-140CA834B1B0,CP-01,03QROSAP CP-1 45010 1.2.I,true,C1,50578214,_5e17f8b3-e727-462f-8a81-98c7a24d493c,ShuntCompensator
_B518EB8D-3EE4-47A3-88C8-B5C8B49509DC,CP-02,03QROQRE CP-2 45020 1.2.I,true,C2,50578332,_d7202d0a-7de0-426c-8e63-4ea647181b5e,ShuntCompensator
_94465D59-F7BE-43F2-A7C6-C097EFCB8FD4,CP-01,03QROCOO CP-1 45010 1.2.I,true,C1,50578349,_2ef85bef-3600-4e07-a6fc-7be102135909,ShuntCompensator
_607EEF71-5A7E-488E-907C-3EE5A30B42A4,CP-01,03QROEZM CP-1 45010 1.2.I,true,C1,50578430,_a2324f47-4297-4707-9b51-e93e853fd209,ShuntCompensator
_C8390095-F038-4CB7-A785-B41FC3039131,CP-01,03GTOPNV CP-1 45010 2.4.I,true,C1,50578733,_b41cbcda-ca2c-48b7-8260-e137a1c2defb,ShuntCompensator
_406C5C1E-103C-474C-BB6B-44DB9C050DB4,CP-01,03GTOAPO CP-1 45010 2.4.I,true,C1,50578880,_07a05f4e-ddf1-48fd-bda8-95ab6d801708,ShuntCompensator
_551771F6-C437-4DB0-BD5D-1ACDF6486442,CP-01,03GTOTRJ CP-1 45010 2.4.C,true,C1,50598535,_6f7337d0-cfc0-487e-9757-a952f2f2fa87,ShuntCompensator
_6817D71A-4374-485D-B156-21062FE96028,CP-01,03GTOAQM CP-1 45010 1.2.I,true,C1,50599408,_bb40556d-0385-4a5e-8a7e-d7b5890f8e9b,ShuntCompensator
_665725F4-D396-4D6E-8634-447EF495596D,CP-01,03JNYJRU CP-1 55010 1.2.I,true,C1,50637724,_b221014b-51ea-49ee-921f-8e5b7a592336,ShuntCompensator
_4DFE0A22-64F9-4187-A173-09B661906830,CP-02,03JNYJDL CP-2 45020 1.2.I,true,C2,50640654,_213b8e93-8382-49c6-8264-53a4d87174b8,ShuntCompensator
_23F09D68-F1E2-43A1-9446-D8B315D5F876,CP-03,03JNYJDL CP-3 45030 1.2.I,true,C3,50640657,_213b8e93-8382-49c6-8264-53a4d87174b8,ShuntCompensator
_23139EB6-05AE-4188-A0E4-EFDF79FC4EE4,CP-01,03COCCHY CP-1 45010 0.9.I,true,C1,50640837,_49e599df-dbbc-4bd5-b068-a59e641e27aa,ShuntCompensator
_41A1FF1C-0A6F-416E-9350-199C6E29C2B2,CP-01,03CNTFAJ CP-1 45010 1.2.I,true,C1,50647993,_e0b36247-e3bb-4a50-b830-655a35d9cbe7,ShuntCompensator
_2C426046-A969-4B49-A20C-D0053D51BC6D,CP-03,05JRZMTV CP-3 B2    1.2I,true,C3,50894196,_f6956af5-0793-4cc5-bdf9-ed7a56283bb6,ShuntCompensator
_5A37A507-FD3F-4C00-9E0B-462FCE149A6E,CP-04,07   GOR 45040  2.4 MVAR,true,C4,50914526,_a63fc6a5-176f-4731-a6f6-067ad28264a2,ShuntCompensator
_81BB46C4-E9FF-417C-BEED-C7B97CA8268B,CP-01,03CNTTEN CP-1 75010 30.C,true,C1,50921609,_749c8f58-25c4-45fc-88cb-1dade5e89ba3,ShuntCompensator
_FDB3DB0B-9B25-477F-92A7-84A61541BEFF,RE-01,07   IVY RT_01   45 MVAR,true,R1,50959676,_58102CD5-EF57-44DD-9F30-7790F12DA11D,ShuntCompensator
_AE7E71FD-5326-4BA9-ACF7-53AA40C7BA69,RE-02,07   IVY RT_02   45 MVAR,true,R2,50959678,_58102CD5-EF57-44DD-9F30-7790F12DA11D,ShuntCompensator
_D1C3769F-F86F-42B0-85D0-B984C4F009A9,RE-03,07   IVY RT_03   45 MVAR,true,R3,50959719,_58102CD5-EF57-44DD-9F30-7790F12DA11D,ShuntCompensator
_890D9794-1F2F-4450-8877-338ACAF6BFCE,RE-04,07   IVY RT_04   45 MVAR,true,R4,50959721,_58102CD5-EF57-44DD-9F30-7790F12DA11D,ShuntCompensator
_99C110EA-BAA4-434C-8C82-A49A7F41F2B7,CP-02,05CUACCD CP-2 B2    002I,true,C2,50985521,_6e4366c4-8305-4892-93cc-4c2dcab830f9,ShuntCompensator
_4FB5E45D-1979-4FF4-9612-2F813468BB75,CP-01,03   PIQ CP-1 75010 30.C,true,C1,51042638,_0BA4B995-88AF-4903-882C-ED9221427435,ShuntCompensator
_E4DF7366-5088-4184-A0F9-FA377AB5D0E8,CP-20,CAS_CP_20,false,C2,51140564,_7a371e6d-7eef-40b2-a0bc-dc61b2061a2f,ShuntCompensator
_BA6DC8E4-9429-4F13-8B09-A250CB43D480,CP-01,04   HLD CP-1 B1       I,false,C1,51255224,_91709D2B-F0B6-45E0-BE33-E9EEA2FDFAEE,ShuntCompensator
_A8FC0DCB-6FC2-486F-9B12-A1E6B61A85EA,CP-01,04   SCL CP-1 B1       I,false,C1,51265313,_9611C37F-63B8-4AD8-A79F-E65103A6BD9D,ShuntCompensator
_4BCE79A6-1F90-4D17-8A4F-441DDB6B737C,CP-01,04   NGS CP-1 B1       I,false,C1,51279668,_CF0E5B4B-6676-47B1-9540-12718681BEB7,ShuntCompensator
_a12ccd9a-076b-41f8-a027-0e402780e2f8,CP-01,08   BNV CP-1 B1    029,true,C1,51423287,_6a48d826-e46d-4087-8fbb-d5bd79eec9e0,ShuntCompensator
_6d7aea77-e8fd-4e3d-89bd-3438d27e030c,CP-01,08   CHH CP-1 B1    031,true,C1,51423716,_a270d4e3-8c98-4c77-b4d8-7b9ab5426866,ShuntCompensator
_92c52242-7277-4cc4-a490-d4bad47c7198,CP-01,08   CHY CP-1 B1    031,true,C1,51481591,_987166d0-c06d-4c31-8cf6-105bd125452b,ShuntCompensator
_4A74003C-255A-47CA-8491-2235241F9227,CP-01,03QROQRP CP-1 75010 30.C,true,C1,51487162,_772a948a-2a77-4a88-a56b-37ad89788692,ShuntCompensator
_FF057A86-3F1E-4B2D-98BE-471146DB496B,CP-01,03QROQRO CP-1 75010 30.C,true,C1,51487177,_25e91c32-0a63-4d6b-96ae-f13805156a08,ShuntCompensator
_4A0A1F2E-8CB8-45D5-84C4-F46AA08277D8,CP-01,04   HLS CP-1 B1       I,false,C1,51507190,_4166AF66-79AB-45B7-A953-F8A65F75EE66,ShuntCompensator
_840C2442-649C-4F0F-AE12-67A32F336035,CP-01,03QROPQN CP-1 75010 30.C,true,C1,51591130,_704edab1-6b20-4c53-82d3-e88cf6ddc548,ShuntCompensator
_C6004A0C-DE11-4183-83E1-FABA55B9E045,CP-03,04CULSPE CP-3 B1       I,true,C3,51594034,_7b24d85d-3bc2-4685-a761-b702ea33aa35,ShuntCompensator
_40c770b9-6c6c-461b-a76f-4f5cc4c5f542,RE-02,05   SGD RE-2 AT-98 015I,true,R2,51603374,_27eb1cb1-a1f4-485d-ab47-1d7681e0ca5f,ShuntCompensator
_13273239-96C8-4C09-A80A-5096753D9471,RE-03,06   FRO RE-03    B 400,true,R3,51713698,_e46f2040-0429-4cc9-88a3-74f7672c628a,ShuntCompensator
_17AB3A8B-85D5-4117-AF71-E82C4045D5FF,CP-01,03QRONTA CP-1 75010 22.5C,true,C1,51741003,_cc314d58-b3d2-4c8b-80ab-cdb06809f7b4,ShuntCompensator
_4ADAE325-DFBF-4A80-B13B-A3BBBF4FCF7E,CP-01,04   HLU CP-1 B1       I,false,C1,51789346,_C102B602-4385-4BFF-94FD-44908B4ECEB1,ShuntCompensator
_5845F58E-F094-4348-995A-56043C60FF47,RE-06,06   AMD RE-6 B5   19.5I,true,R6,51844679,_cde67489-613d-422d-a99b-972174b4ca9c,ShuntCompensator
_AE05436A-1617-4AF4-A204-1FD5FCE47D09,RE-02,06   REC RE-2 B 400  75I,true,R2,51852367,_dbeea793-aa73-45d9-b946-586424684a3b,ShuntCompensator
_01A83D7A-4BDB-458F-B85B-128997E6F9E2,CP-01,04   HLE CP-1 B1       I,false,C1,51895919,_E4928FB1-3E74-46B7-934A-A54F8782FF10,ShuntCompensator
_B5E56B00-899D-44CB-982C-B98CE3111F56,CP-01,05JRZSZL CP-1 B1    1.8I,true,C1,51907132,_6B019CB6-37F5-473F-8F65-98B4128C2DA8,ShuntCompensator
_C4537B18-51C8-4942-B9F7-44B6F4E5CA77,CP-01,04   NVN CP-1 B1       I,false,C1,51988906,_36AC4B55-C29D-4ECC-BBF4-CCC57B066BE7,ShuntCompensator
_1C02E13E-04E7-46AE-82ED-D921B23C91E1,CP-01,04   HMI CP-1 B1       I,false,C1,52027852,_EA5B73E0-5D20-4CEA-9C47-09516FFADC60,ShuntCompensator
_3D7B1795-B2F5-4A2C-ACD0-3B6635756A19,CP-01,03QRONTA CP-1 75010   30C,true,C1,52054804,_5d6ffb2a-aa21-4468-b189-9ed37fcee730,ShuntCompensator
