"ShuntCompensator:
ID","ShuntCompensator:
VoltageControlFlag","ShuntCompensator:
InternalId","ShuntCompensator:
Name","ShuntCompensator:
Parent","ShuntCompensator:
ObjectType","ShuntCompensator:
RegulatingCondEqRegulatesTerminal:
Terminal:
ID","Terminal:
InternalId","Terminal:
Name","Terminal:
Parent","Terminal:
ObjectType"
_1d801bda-a329-46e6-a3f9-cf12cbf6e1e2,false,1200952,RE-02,_37e1604d-4b1f-42ec-8fe9-0cdc02511df9,ShuntCompensator,,,,,
_ab87dd8a-61e2-48f7-8430-52c733c4255e,false,1202472,RE-01,_3335e040-1cf8-4892-95bd-7f1920b2da21,ShuntCompensator,_7b0434ce-4300-4654-963d-2314aa949609,1202321,T1,_a78e8a5d-8c43-405f-b690-fc31bc70c4ee,Terminal
_695a01f5-7389-43c3-9f90-28a43e2991d4,false,1202474,RE-02,_3335e040-1cf8-4892-95bd-7f1920b2da21,ShuntCompensator,_388300ee-6f36-4557-a468-ab81d417b00c,1202319,T1,_f735e15e-4db4-4268-b557-cf0a3173106a,Terminal
_7c8c929c-968d-49e3-b71d-d16b3a468582,false,1203105,CP-01,_6a0c2c1b-1459-43b9-b971-3b6ff7d31700,ShuntCompensator,_f678a011-6974-4a4f-aa09-077fd935d2c3,1203018,T1,_e62bfb76-6aa4-4d19-9614-fd6cc29d688a,Terminal
_99139846-790a-4b36-ba7c-34027b707a07,false,1203107,CP-02,_6a0c2c1b-1459-43b9-b971-3b6ff7d31700,ShuntCompensator,_f678a011-6974-4a4f-aa09-077fd935d2c3,1203018,T1,_e62bfb76-6aa4-4d19-9614-fd6cc29d688a,Terminal
_8d3d0b80-3647-41e2-b6c3-6fbd481b9595,false,1203109,CP-03,_6a0c2c1b-1459-43b9-b971-3b6ff7d31700,ShuntCompensator,_f678a011-6974-4a4f-aa09-077fd935d2c3,1203018,T1,_e62bfb76-6aa4-4d19-9614-fd6cc29d688a,Terminal
_08a04c5d-305e-4328-bfdd-52606831350f,false,1203111,CP-04,_6a0c2c1b-1459-43b9-b971-3b6ff7d31700,ShuntCompensator,_f678a011-6974-4a4f-aa09-077fd935d2c3,1203018,T1,_e62bfb76-6aa4-4d19-9614-fd6cc29d688a,Terminal
_17d7aad6-4ac7-4699-bb3e-180c679607e9,false,1203999,RE-01,_c30a63d8-a9ae-45fb-bcc9-952ebcc092c4,ShuntCompensator,,,,,
_18e84216-72b8-4757-a17b-2c823d8027e7,false,1204736,CP-01,_b6ab4ba4-7176-48d0-a924-9e95d796e1a1,ShuntCompensator,_5f8079f1-f4e2-455a-ac14-26838f7b0abc,1204595,T1,_ddc8a39a-5111-47c9-91dc-1ea1d4dac394,Terminal
_47c264d6-995a-47ef-a879-a8ae93d2f094,false,1205252,CP-01,_d13381d4-e869-456f-8827-e4f2d5c39e69,ShuntCompensator,,,,,
_23e19569-d44b-4a5d-b6a8-59c2f0cac42a,false,1205511,CP-01,_2fe33010-34e7-4e29-9203-e5e295dcd0b2,ShuntCompensator,,,,,
_f4bbb7b3-e0a6-4993-8032-406688138237,false,1207307,CP-11,_c7f941c9-90e9-47c2-8ad9-185797b30197,ShuntCompensator,,,,,
_b5f56487-37e9-4ec8-b998-e63f567ea13c,false,1207309,CP-12,_c7f941c9-90e9-47c2-8ad9-185797b30197,ShuntCompensator,,,,,
_c3f7fe5e-428c-4305-af92-6745c5315787,false,1207311,CP-21,_c7f941c9-90e9-47c2-8ad9-185797b30197,ShuntCompensator,,,,,
_6e3a170c-d687-4355-bad5-d9d338922731,false,1207313,CP-22,_c7f941c9-90e9-47c2-8ad9-185797b30197,ShuntCompensator,,,,,
_b515008f-24ca-4cf4-a244-10fe3efe6e4a,false,1208756,RE-01,_77f36555-a32a-4090-af76-56b21df50adc,ShuntCompensator,_f24e99a4-4087-4659-8342-acd037f1fb75,1208553,T1,_9124f4d0-fd06-49e1-b03c-9b3057125c3d,Terminal
_d99e9d20-4458-4e73-94a5-2219a4c8f6be,false,1208758,RE-02,_77f36555-a32a-4090-af76-56b21df50adc,ShuntCompensator,_aceb9354-cca5-4ca7-87b0-ecd7b0e0bba8,1208555,T1,_cbe7bec6-d690-4640-862f-c709a3c4eaa9,Terminal
_25cab0d1-3b0e-4423-8296-968dacc0a4bb,false,1209842,RE-01,_f1a4d5fc-357d-4bd8-8e55-789476432645,ShuntCompensator,_d8b77c1c-c0e0-41af-acfb-a4c5b2be2abf,1209761,T1,_3e26a0c6-03ae-40f9-95ae-6c6cdae90e07,Terminal
_6fe2f583-e7cc-437a-828c-dd0d6a1aa82d,false,1209844,RE-02,_f1a4d5fc-357d-4bd8-8e55-789476432645,ShuntCompensator,_de74fca7-2b03-47f8-94db-faad49cca702,1209763,T1,_8a926002-5c2d-499a-9ce9-bac635b8a732,Terminal
_7fa28355-ad7f-4fd1-ba17-b37b76bce167,false,1211869,RE-01,_3cd727f1-8953-45d8-b394-e339f640f11e,ShuntCompensator,,,,,
_01eb7555-b77c-4619-949c-2dd2b302531d,false,1213693,RE-01,_4f8c19ec-5da4-44c6-a37b-1e258661dc4c,ShuntCompensator,,,,,
_3a9a69ba-fdbe-45b2-9b30-148f2e4848e1,false,1214038,RE-01,_d55d9783-b144-4973-b9e9-8fccd36f726e,ShuntCompensator,_3c277cba-736b-41c6-a586-0d81620a7c35,1213962,T1,_7666deb9-ef54-473f-a33a-abfe0367cb95,Terminal
_e1066746-6b58-4745-9b3a-1841db98398c,false,1215369,CP-01,_236e19fe-15a1-4e47-beea-17729702208f,ShuntCompensator,,,,,
_f85d09b6-a4af-4f93-99b0-1993740c27cd,false,1216150,CP-01,_b1fde2a9-7fdf-4ba5-8bf5-cd7e6bd23b3f,ShuntCompensator,,,,,
_8c5cdab0-08e5-4fb9-8037-7cc1eb439f45,false,1216152,CP-02,_b1fde2a9-7fdf-4ba5-8bf5-cd7e6bd23b3f,ShuntCompensator,,,,,
_ff958d73-1ed0-401b-8916-c3a9c2d26851,false,1216154,CP-03,_b1fde2a9-7fdf-4ba5-8bf5-cd7e6bd23b3f,ShuntCompensator,,,,,
_4da1b6d3-4f27-45d2-bcba-95a70455a569,false,1216156,CP-04,_b1fde2a9-7fdf-4ba5-8bf5-cd7e6bd23b3f,ShuntCompensator,,,,,
_dab21799-4008-402d-9504-708d5931cfdc,false,1216158,CP-05,_b1fde2a9-7fdf-4ba5-8bf5-cd7e6bd23b3f,ShuntCompensator,,,,,
_c0893f2d-c8fe-48ab-9e72-680274402a26,false,1216160,CP-06,_b1fde2a9-7fdf-4ba5-8bf5-cd7e6bd23b3f,ShuntCompensator,,,,,
_139a3d78-0d1d-4069-ab1f-8b4e08b6c101,false,1217426,RE-01,_f35e61b8-cfb7-4515-9e47-6dde8130e6d3,ShuntCompensator,_b735173e-a165-4bc7-8e5d-12e721221164,1217246,T1,_9ed9d686-a6bb-438a-aa22-7cc64f8b3cc4,Terminal
_0c4d434b-bf08-451e-bfad-4bfe7ded97ea,false,1217430,RE-03,_f35e61b8-cfb7-4515-9e47-6dde8130e6d3,ShuntCompensator,_b735173e-a165-4bc7-8e5d-12e721221164,1217246,T1,_9ed9d686-a6bb-438a-aa22-7cc64f8b3cc4,Terminal
_9ff5574b-6e54-46b9-8e63-c49a28771520,false,1217762,RE-01,_99c3d17e-af75-406e-b798-e3aedaf4038e,ShuntCompensator,_9b145018-8237-46b7-bbf0-8f2ef8c54bae,1217653,T1,_5cff0201-c48c-49cf-b384-a39bf1c02572,Terminal
_97b010e0-2f11-4219-902d-70c962df82bc,false,1217764,RE-02,_99c3d17e-af75-406e-b798-e3aedaf4038e,ShuntCompensator,_937a29fb-8681-4a4e-809d-4e8323b7831c,1217651,T1,_79919393-f40d-4974-a15e-5379c9d5c270,Terminal
_914f66df-6118-4416-84c9-cdca0d2b83f4,false,1224874,RE-01,_589b087e-cc52-4368-ab94-880b15597141,ShuntCompensator,_27381f88-fa95-4507-bac9-c2dc68c0d25f,1224745,T1,_c6778e50-ce30-4530-b1ae-6b177867ca30,Terminal
_6e2fe193-03dd-498d-9cfa-7291f8cdb6c5,false,1225629,CP-01,_a19be484-ddbc-4c4e-b774-18da563bcb95,ShuntCompensator,,,,,
_639fef76-2db5-48c6-8107-ac2ce721b143,false,1225631,CP-02,_a19be484-ddbc-4c4e-b774-18da563bcb95,ShuntCompensator,,,,,
_e34f58cf-baf2-4d9e-a110-78ebea544896,false,1225845,CP-01,_a6a12fb0-f244-4238-b90c-69bb7112ac6e,ShuntCompensator,,,,,
_3e3607f0-5cb5-4a07-9b76-0a2e18487727,false,1225847,CP-02,_a6a12fb0-f244-4238-b90c-69bb7112ac6e,ShuntCompensator,,,,,
_9c8ffc22-57ce-4088-9948-fe26fcfca6a5,false,1225849,CP-03,_a6a12fb0-f244-4238-b90c-69bb7112ac6e,ShuntCompensator,,,,,
_738c7748-192a-4539-a2b7-953def6f89cd,false,1227727,RE-03,_4fb15506-d604-4757-8d6f-dc688cad5a3e,ShuntCompensator,_2edc8a37-d7be-4184-a481-724335face41,1227586,T1,_d5a25e73-204f-407b-928f-9f9255502c5a,Terminal
_7e87c144-d329-4b1d-9694-bb2083df61c4,false,1227729,RE-04,_4fb15506-d604-4757-8d6f-dc688cad5a3e,ShuntCompensator,_2edc8a37-d7be-4184-a481-724335face41,1227586,T1,_d5a25e73-204f-407b-928f-9f9255502c5a,Terminal
_0c4a7469-0daf-4453-acd4-20b4331b400c,false,1229402,CP-01,_599c5720-4178-44cc-9550-20f9797afc58,ShuntCompensator,,,,,
_818955dd-a19c-45e7-925c-3f8595ab2d2a,false,1229404,CP-02,_599c5720-4178-44cc-9550-20f9797afc58,ShuntCompensator,,,,,
_1fed233e-122f-4413-8800-f4b642fe4cff,false,1229772,CP-01,_1d194ed3-4d44-4455-bab7-564a692bc85b,ShuntCompensator,_d297622b-daa1-4336-a409-b874c26a27fa,1229550,T1,_f1ed5b7f-5fda-4b5f-89d0-2af9fea15686,Terminal
_70f22e10-2299-4159-a4df-24f9618a9d5b,false,1230594,CP-11,_58b1e44f-8662-4271-b3de-21390029e247,ShuntCompensator,,,,,
_f91f7439-9c89-4e37-bec6-b85a1d56a309,false,1230596,CP-12,_58b1e44f-8662-4271-b3de-21390029e247,ShuntCompensator,,,,,
_d019a47c-2759-4a64-b4db-f787577daf77,false,1230598,CP-21,_58b1e44f-8662-4271-b3de-21390029e247,ShuntCompensator,,,,,
_7d51f0cc-83b9-4162-b2e0-47071e0ba9ae,false,1230600,CP-22,_58b1e44f-8662-4271-b3de-21390029e247,ShuntCompensator,,,,,
_bf18b884-87f5-4c66-a3aa-7a764ed31fd3,false,1232379,CP-01,_c08b8243-3041-40eb-82be-4bf830aa88d6,ShuntCompensator,,,,,
_c8a27877-85d8-4e08-a55d-f2749697613c,false,1232609,CP-01,_eaba2975-f23b-4bbb-911b-89f850b0ceae,ShuntCompensator,,,,,
_3514c70e-6889-487f-ace4-8aa95d5e73ea,false,1232611,CP-02,_eaba2975-f23b-4bbb-911b-89f850b0ceae,ShuntCompensator,,,,,
_b4c554fe-e477-45d8-bbed-6a2fd861486a,false,1232613,CP-03,_eaba2975-f23b-4bbb-911b-89f850b0ceae,ShuntCompensator,,,,,
_5e904443-0a95-4e36-bc11-beea6581d6f9,false,1232615,RE-04,_eaba2975-f23b-4bbb-911b-89f850b0ceae,ShuntCompensator,,,,,
_7ad177cc-ba1e-4d10-94e1-bcadc574e040,false,1233211,CP-01,_09296476-2b69-418f-9130-4a7f1f699674,ShuntCompensator,,,,,
_09a5c249-1948-490a-b2ae-07cf2148a467,false,1234924,CP-01,_4120dd81-7c26-44fc-a591-d2d2d83be311,ShuntCompensator,_17adeacc-eff1-466f-a917-a91216ab8ad8,1234855,T1,_5fa9517d-9aed-4797-b155-dea0885eb95e,Terminal
_25fb44d9-0e9b-4a17-9759-3e38f2ec755d,false,1235478,CP-01,_3c422f23-dc98-4848-9cc6-f4a282dbf441,ShuntCompensator,,,,,
_b9b34982-3d45-475e-8dc6-2b569853ef39,false,1240415,CP-01,_f83b021e-3953-41f9-b52d-e56434275264,ShuntCompensator,,,,,
_fffae29b-62ee-424b-bc16-923ebefbc59b,false,1240417,RE-01,_f83b021e-3953-41f9-b52d-e56434275264,ShuntCompensator,,,,,
_8f3cb827-fb4a-4b05-885f-0642c8a65be1,false,1244051,CP-01,_40029a03-c49a-4386-8722-e0e1d0c64067,ShuntCompensator,,,,,
_c7bbabf4-c232-4bc1-bac9-f0051e275e69,false,1245080,CP-01,_ed2605f3-a038-45d0-a1fa-8e0169c130fa,ShuntCompensator,,,,,
_923ff036-7609-4481-a76e-a8d07da23cf4,false,1245439,CP-01,_d9d072fc-ff0f-4aac-991b-eafba0dcd29a,ShuntCompensator,,,,,
_59e24518-f37b-4d03-ada3-c6fab1b95647,false,1245763,CP-01,_9af1de57-14a5-4dc2-b65d-5e531af32ff3,ShuntCompensator,,,,,
_3a5a470f-6965-4717-9ade-85f2aced360b,false,1246154,CP-01,_d31ae867-cea5-465e-8948-850a2644ba37,ShuntCompensator,,,,,
_444a118e-74b9-4cac-a672-b0ac16a09761,false,1247605,CP-01,_63d44d72-38f2-49ce-8479-bf438f313a35,ShuntCompensator,,,,,
_6124f9d6-f21b-4be0-a713-22714b3240a7,false,1248522,CP-01,_67faa75a-953c-4dcc-b96b-6c53b4f6341a,ShuntCompensator,,,,,
_0fbd7f50-c1bb-4312-a402-1d1b942bce7d,false,1248524,CP-02,_67faa75a-953c-4dcc-b96b-6c53b4f6341a,ShuntCompensator,,,,,
_a274f2ee-b1c1-482b-9383-49aea2c93fb2,false,1250660,CP-01,_84823ae8-e537-4b4f-99a6-d63068f861e7,ShuntCompensator,,,,,
_a26fa602-c735-4a8b-bb41-c31e13b7f13a,false,1252011,CP-01,_ef68d767-fb97-4b29-9ada-d037cfc93b89,ShuntCompensator,,,,,
_039356c0-5dff-466c-8126-eeb49dc097fb,false,1258625,CP-01,_93e7d962-78b5-4f6b-aad8-db1b906df7a4,ShuntCompensator,,,,,
_0782b253-3fd9-4027-a7a4-c43c2e6e65f3,false,1259235,CP-01,_14f2f430-4134-4565-aec1-01390e5f12b6,ShuntCompensator,,,,,
_b51715c0-6450-4b1c-ba45-59a8012df656,false,1259542,CP-01,_b2f4287b-3c12-4311-b18c-95e6b140bb06,ShuntCompensator,,,,,
_c6c7ebdf-bccb-4793-8327-56c228bc96e5,false,1262526,CP-01,_90b207f8-cd4a-437d-bf6b-67a443daa677,ShuntCompensator,,,,,
_9b4a2796-30f7-4745-8acd-3ed552ad2a49,false,1263229,CP-01,_594f1ac2-cf26-4733-9b10-1c0156b38946,ShuntCompensator,,,,,
_3cc4a14d-a82f-4148-a1bf-ee28ffdab354,false,1263676,CP-01,_76f4c355-d17e-4115-8f49-55e7ff938dcd,ShuntCompensator,,,,,
_6fe41edd-da3c-4e98-ae30-9fe912a37cea,false,1267869,CP-01,_3127f0dd-66f7-4843-a549-14fac39217f5,ShuntCompensator,,,,,
_90eda013-d16c-42a3-b382-49cefdee4563,false,1274318,CP-01,_9abc7f38-c5a6-4df1-b4eb-96ea1d96adb5,ShuntCompensator,,,,,
_035e34b8-9a6f-41de-b4fc-09663f2bf52d,false,1276752,CP-01,_d3b94290-954f-452f-b670-c4810382e414,ShuntCompensator,,,,,
_d5ac6b78-ed76-40e6-8051-af10a265619f,false,1279923,CP-01,_d6b83c69-47c0-4c18-812b-39162e2f5022,ShuntCompensator,,,,,
_6872b9d5-72d6-404d-8d78-575a236d4b83,false,1281524,CP-01,_4c724ea1-98b0-490d-aa71-875fb25252fe,ShuntCompensator,,,,,
_1789578b-72aa-4c03-84e9-527545164c8d,false,1282473,CP-01,_f312eba3-ac2b-45b6-9142-18736e9f0129,ShuntCompensator,,,,,
_c8ca5dc0-edd4-4310-9ef9-b9c4710f118d,false,1283708,CP-01,_f8b84f81-dc6c-402a-a899-eabadb946b4d,ShuntCompensator,,,,,
_60138fbb-990d-4dac-9499-e642fc93d1f8,false,1285043,CP-01,_cefab600-aa3e-48a4-ab1a-ba008290e352,ShuntCompensator,,,,,
_ab4bc9d1-c185-4a34-9960-ae57a98340b0,false,1287681,CP-01,_8fa7557e-2109-42b2-b032-8813c20470aa,ShuntCompensator,,,,,
_82649a2e-7862-4372-a323-85ce8269b216,false,1288174,CP-01,_021ec375-4b44-4557-a484-5484e0dc6437,ShuntCompensator,,,,,
_80b557fd-d15a-4f51-9f2e-d719d5ac9067,false,1290168,CP-01,_6bd5a791-8b44-4e8b-b7f1-875ecd9998f8,ShuntCompensator,,,,,
_e5c1830d-86ba-4cb0-a4ab-4ce871df2d82,false,1290354,CP-01,_198fdd10-f292-452d-9c0b-3637959f3657,ShuntCompensator,,,,,
_5b40a901-1921-43fb-8231-499f24a479a9,false,1290914,CP-01,_c87b1071-caaa-4d24-afa3-1c49788c20ac,ShuntCompensator,,,,,
_4fcda0ec-9deb-400c-89bb-b326c40fa0ca,false,1291401,CP-01,_005ef163-0742-4fc8-b9d7-b4a8d6b1fe56,ShuntCompensator,,,,,
_e1d4433b-8158-4526-918c-31b7c0dddb0e,false,1291710,CP-01,_adb6d0a9-2ed2-47d6-820d-c04faad6f1f7,ShuntCompensator,,,,,
_6fc54c1a-b95e-4dc3-9819-c5f91600bbed,false,1293005,CP-01,_bd050478-c8f9-4550-8ab4-7b0a2096da6a,ShuntCompensator,,,,,
_cecd40f7-a850-4da8-b079-c6463296383f,false,1295541,CP-01,_ce81d0f6-2a0f-46c5-bb87-30b3a912ed7c,ShuntCompensator,_3b996dc7-3a4a-46e8-a3c8-97a115b6f3e8,1295415,T1,_6c016a69-e381-4623-9bb0-9dea504f8710,Terminal
_178e2e7e-92aa-4caa-bd4e-3468d2c06694,false,1300345,CP-01,_b1218aaa-94a5-4122-b1ab-598676e6640b,ShuntCompensator,,,,,
_316b4fcf-4752-4b2b-8f18-75d597798760,false,1301046,CP-01,_aef0d948-a83e-42c0-8d0d-55fdf9215bf4,ShuntCompensator,,,,,
_2ba2e693-c9d7-4d39-aeb1-c3ced712a439,false,1301676,CP-01,_92c8ed3d-df67-41f2-a672-193761d195c8,ShuntCompensator,,,,,
_839c6aef-dbdf-4ec3-8326-a72b2c30253e,false,1305319,CP-01,_411b89d0-ca21-49fb-b65e-c0e7a4511f6e,ShuntCompensator,,,,,
_8d2d29d3-c240-465b-a3f3-30b61df7eba0,false,1306364,CP-01,_b691e4dc-ce8e-4f47-ac4c-85397708c370,ShuntCompensator,,,,,
_78d88939-15e6-418a-be9c-f354c5f956c1,false,1307438,CP-01,_fdec849d-cc45-4eb2-a6a8-b73321972f56,ShuntCompensator,,,,,
_bc165a2f-98ed-48b2-b8ba-9549df236c93,false,1309035,CP-01,_9e4718b5-7906-48c1-b488-64284fac1449,ShuntCompensator,,,,,
_0b2b5540-f976-4035-9b3b-b4fdd1322d26,false,1310202,CP-01,_89ff96b4-c224-4a52-bb13-16b27fa29d22,ShuntCompensator,,,,,
_af11083a-d4d5-47d8-820a-8f3c69047e09,false,1312476,CP-01,_001e44b8-a9f7-4f83-94a4-7f7f2f1d67ca,ShuntCompensator,,,,,
_36ea4ba4-6687-42d3-b8bc-e58d69d0b3f8,false,1314505,CP-01,_a0a5a2ab-49a8-4471-8c16-ffd4e5159c8a,ShuntCompensator,,,,,
_f81877fc-c7fa-42d6-a740-9a208060432f,false,1314555,CP-03,_bc05e8ab-cdad-4cac-b243-8e072573f914,ShuntCompensator,,,,,
_ee2269e8-c2ac-49da-b849-5fd0bda65c3d,false,1314557,CP-02,_bc05e8ab-cdad-4cac-b243-8e072573f914,ShuntCompensator,,,,,
_c4c28b7a-497d-4ff9-9626-0cb7771cfb02,false,1315649,CP-01,_8a1ad904-d72e-4306-a4fd-6750cf624bed,ShuntCompensator,,,,,
_2994d923-7325-4860-9c1e-720e6ffd4044,false,1316116,CP-01,_2fb650df-c3b2-43ae-9e54-8c1fcc164afa,ShuntCompensator,,,,,
